product_id,product_name,category,segment,size,color,price,cogs,gross_margin,sales_volume,product_segment_pv
536,SaigonFlex UC-01,Streetwear,Everyday,S,green,11059.65,9704.842875,0.12249999999999994,108.0,Cash Cows
537,SaigonFlex UC-02,Streetwear,Everyday,M,silver,9523.076012658228,5393.87025356962,0.43360000000000004,367.0,Stars
538,SaigonFlex UC-03,Streetwear,Everyday,L,pink,15951.633157894736,11371.919278263158,0.2870999999999999,82.0,Dogs
539,SaigonFlex UC-04,Streetwear,Everyday,XL,yellow,15753.7172985782,8573.172953886256,0.4558,676.0,Stars
540,SaigonFlex UC-05,Streetwear,Everyday,S,red,15766.334536082471,14063.570406185569,0.10799999999999975,336.0,Cash Cows
541,SaigonFlex UC-06,Streetwear,Everyday,M,black,16095.853846153846,15291.061153846153,0.05000000000000009,271.0,Cash Cows
542,SaigonFlex UC-07,Streetwear,Everyday,L,orange,9213.817741935483,6152.066106290323,0.33229999999999993,348.0,Stars
543,SaigonFlex UC-08,Streetwear,Everyday,XL,blue,40.39417781955786,22.4877477162706,0.44329235226115704,0.0,Question Marks
544,SaigonFlex UC-09,Streetwear,Everyday,S,white,11334.106451612904,8528.91510483871,0.24750000000000003,543.0,Cash Cows
545,SaigonFlex UC-10,Streetwear,Everyday,M,purple,10045.678411214954,9091.338962149532,0.09500000000000021,2363.0,Cash Cows
546,SaigonFlex UC-11,Streetwear,Everyday,L,green,16066.115625,13338.089191875,0.1698,666.0,Cash Cows
547,SaigonFlex UC-12,Streetwear,Everyday,XL,silver,6544.421470588235,4298.376021882353,0.3432,470.0,Stars
548,SaigonFlex UC-13,Streetwear,Everyday,S,pink,6163.409553488373,4883.885730184186,0.20760000000000003,11173.0,Cash Cows
549,SaigonFlex UC-14,Streetwear,Everyday,M,yellow,6655.753057615516,5205.464466361095,0.21789999999999995,3955.0,Cash Cows
550,SaigonFlex UC-15,Streetwear,Everyday,L,red,5184.6242217898825,3404.7427264494163,0.34329999999999994,1840.0,Stars
551,SaigonFlex UC-16,Streetwear,Everyday,XL,black,11245.40662055336,10683.136289525692,0.05000000000000003,14246.0,Cash Cows
552,SaigonFlex UC-17,Streetwear,Everyday,S,orange,11588.85,11009.4075,0.050000000000000086,5.0,Dogs
553,SaigonFlex UC-18,Streetwear,Everyday,M,blue,11516.617241379312,9748.816494827586,0.1535000000000001,582.0,Cash Cows
554,SaigonFlex UC-19,Streetwear,Everyday,L,white,10501.44709090909,6426.885619636364,0.38799999999999996,157.0,Stars
555,SaigonFlex UC-20,Streetwear,Everyday,XL,purple,10520.478996539792,9994.455046712805,0.0499999999999998,1178.0,Cash Cows
556,SaigonFlex UC-21,Streetwear,Everyday,S,green,10268.64391304348,9686.411803173914,0.056699999999999945,3345.0,Cash Cows
557,SaigonFlex UC-22,Streetwear,Everyday,M,silver,10090.442604501608,7554.714377990354,0.2513,1017.0,Cash Cows
558,SaigonFlex UC-23,Streetwear,Everyday,L,pink,18269.37,14094.818955,0.22849999999999993,0.0,Dogs
559,SaigonFlex UC-24,Streetwear,Everyday,XL,yellow,7658.988223707352,6569.1141994737945,0.14230000000000012,9930.0,Cash Cows
560,SaigonFlex UC-25,Streetwear,Everyday,S,red,8428.274494382023,7354.512323797754,0.12739999999999996,0.0,Dogs
561,SaigonFlex UC-26,Streetwear,Everyday,M,black,8951.670000000002,7753.936554000001,0.13380000000000009,0.0,Dogs
562,SaigonFlex UC-27,Streetwear,Everyday,L,orange,11109.750837988828,10554.263296089386,0.05000000000000002,594.0,Cash Cows
563,SaigonFlex UC-28,Streetwear,Everyday,XL,blue,9445.094755700327,8972.84001791531,0.05000000000000006,1716.0,Cash Cows
564,SaigonFlex UC-29,Streetwear,Everyday,S,white,11503.8,7876.651859999999,0.3153,8.0,Question Marks
565,SaigonFlex UC-30,Streetwear,Everyday,M,purple,10752.791426927502,9051.699823187571,0.1582,2995.0,Cash Cows
566,SaigonFlex UC-31,Streetwear,Everyday,L,green,11783.942843326886,9612.16217730174,0.1843000000000001,1832.0,Cash Cows
567,SaigonFlex UC-32,Streetwear,Everyday,XL,silver,10134.776887966806,8711.854212896265,0.14040000000000008,4159.0,Cash Cows
568,SaigonFlex UC-33,Streetwear,Everyday,S,pink,10532.698282442749,7628.833365973283,0.27569999999999995,914.0,Cash Cows
