product_id,product_name,category,segment,size,color,price,cogs
536,SaigonFlex UC-01,Streetwear,Everyday,S,green,11059.65,9704.842875
537,SaigonFlex UC-02,Streetwear,Everyday,M,silver,9523.076012658228,5393.87025356962
538,SaigonFlex UC-03,Streetwear,Everyday,L,pink,15951.633157894736,11371.919278263158
539,SaigonFlex UC-04,Streetwear,Everyday,XL,yellow,15753.7172985782,8573.172953886256
540,SaigonFlex UC-05,Streetwear,Everyday,S,red,15766.334536082471,14063.570406185569
541,SaigonFlex UC-06,Streetwear,Everyday,M,black,16095.853846153846,15291.061153846153
542,SaigonFlex UC-07,Streetwear,Everyday,L,orange,9213.817741935483,6152.066106290323
543,SaigonFlex UC-08,Streetwear,Everyday,XL,blue,40.39417781955786,22.487747716270597
544,SaigonFlex UC-09,Streetwear,Everyday,S,white,11334.106451612904,8528.91510483871
545,SaigonFlex UC-10,Streetwear,Everyday,M,purple,10045.678411214954,9091.338962149532
546,SaigonFlex UC-11,Streetwear,Everyday,L,green,16066.115625,13338.089191875
547,SaigonFlex UC-12,Streetwear,Everyday,XL,silver,6544.421470588235,4298.376021882353
548,SaigonFlex UC-13,Streetwear,Everyday,S,pink,6163.409553488373,4883.885730184186
549,SaigonFlex UC-14,Streetwear,Everyday,M,yellow,6655.753057615516,5205.464466361095
550,SaigonFlex UC-15,Streetwear,Everyday,L,red,5184.6242217898825,3404.7427264494163
551,SaigonFlex UC-16,Streetwear,Everyday,XL,black,11245.40662055336,10683.136289525692
552,SaigonFlex UC-17,Streetwear,Everyday,S,orange,11588.85,11009.4075
553,SaigonFlex UC-18,Streetwear,Everyday,M,blue,11516.617241379312,9748.816494827586
554,SaigonFlex UC-19,Streetwear,Everyday,L,white,10501.44709090909,6426.885619636364
555,SaigonFlex UC-20,Streetwear,Everyday,XL,purple,10520.478996539792,9994.455046712805
556,SaigonFlex UC-21,Streetwear,Everyday,S,green,10268.64391304348,9686.411803173914
557,SaigonFlex UC-22,Streetwear,Everyday,M,silver,10090.442604501608,7554.714377990354
558,SaigonFlex UC-23,Streetwear,Everyday,L,pink,18269.37,14094.818955
559,SaigonFlex UC-24,Streetwear,Everyday,XL,yellow,7658.988223707352,6569.1141994737945
560,SaigonFlex UC-25,Streetwear,Everyday,S,red,8428.274494382023,7354.512323797754
561,SaigonFlex UC-26,Streetwear,Everyday,M,black,8951.670000000002,7753.936554000001
562,SaigonFlex UC-27,Streetwear,Everyday,L,orange,11109.750837988828,10554.263296089386
